wavelength_nm,n,k
668,1.51086210489257,6.45067120251458e-07
669,1.51083609302943,6.54125334848403e-07
670,1.51081018000291,6.63227232821819e-07
671,1.51078439891351,6.7237104014626e-07
672,1.51075871667201,6.81555070044355e-07
673,1.51073313328347,6.90938420258142e-07
674,1.51070771494703,7.0035457611084e-07
675,1.51068236237817,7.0964580177013e-07
676,1.51065714177656,7.19280146726797e-07
677,1.51063202005006,7.28787139692157e-07
678,1.51060699720362,7.38322087635845e-07
679,1.51058210634198,7.48032355189987e-07
680,1.51055731437128,7.57764705126948e-07
681,1.51053265439731,7.67662934803442e-07
682,1.51050806022365,7.77435151383017e-07
683,1.51048359805746,7.8736810765403e-07
684,1.51045923480266,7.97455797210911e-07
685,1.51043497046402,8.07417463311199e-07
686,1.5104108381499,8.17529363891196e-07
687,1.5103867716584,8.27785993357369e-07
688,1.51036283720194,8.37917084664676e-07
689,1.51033900168165,8.48188964769704e-07
690,1.5103152651022,8.58596580677505e-07
691,1.51029162746827,8.69007307995756e-07
692,1.5102680887845,8.79421036224335e-07
693,1.51024464905551,8.89962418177075e-07
694,1.51022130828591,9.00503690823205e-07
695,1.5101980664803,9.11166712415841e-07
696,1.51017492364323,9.21826829208228e-07
697,1.51015187977927,9.32484140823008e-07
698,1.51012893489294,9.43256450778154e-07
699,1.51010608898875,9.54139864062197e-07
700,1.5100833420712,9.65015581768285e-07
701,1.51006069414476,9.75997620452214e-07
702,1.51003811210213,9.86969949798935e-07
703,1.51001566217076,9.98044136145136e-07
704,1.50999327813107,1.00910681207997e-06
705,1.50997099309922,1.02026717475794e-06
706,1.50994880707959,1.03141441826059e-06
707,1.50992672007654,1.04265544918393e-06
708,1.50990473209442,1.0539872667352e-06
709,1.5098828100224,1.06530276249141e-06
710,1.50986098697899,1.07670556899906e-06
711,1.50983926296847,1.08809091231398e-06
712,1.50981760487855,1.09956030931313e-06
713,1.50979604582912,1.11111115707798e-06
714,1.50977458582441,1.12264205228313e-06
715,1.50975322486865,1.13425148928076e-06
716,1.50973192984759,1.14593708096328e-06
717,1.50971073388293,1.15760061796915e-06
718,1.50968960385947,1.16933770876011e-06
719,1.50966860601968,1.18114616061856e-06
720,1.50964764100813,1.1929307913557e-06
721,1.50962677506775,1.20478445474488e-06
722,1.50960600820263,1.21670513315067e-06
723,1.50958534041687,1.22860051452063e-06
724,1.5095647385924,1.24056082347275e-06
725,1.50954420273193,1.252584200124e-06
726,1.50952376596117,1.26466884569637e-06
727,1.50950339516068,1.27672606488418e-06
728,1.50948312345705,1.288842771421e-06
729,1.50946295085427,1.30101730324524e-06
730,1.50944281110671,1.31316350918223e-06
731,1.50942280359141,1.32536593798163e-06
732,1.50940282893659,1.33762305096985e-06
733,1.5093829533958,1.34993335858469e-06
734,1.50936317697294,1.36221391982261e-06
735,1.50934346654494,1.37462707230435e-06
736,1.50932382211437,1.38692913029669e-06
737,1.50930424368381,1.39936105806681e-06
738,1.50928476438411,1.41184079074519e-06
739,1.5092653510904,1.42428912464959e-06
740,1.50924603693436,1.43678414940729e-06
741,1.50922678879024,1.44924805260724e-06
742,1.50920760666057,1.46183353286156e-06
743,1.50918849054788,1.47438688349295e-06
744,1.50916947358546,1.48698358290987e-06
745,1.50915052264585,1.49962253873457e-06
746,1.50913163773154,1.51222927696924e-06
747,1.50911281884501,1.52487740581823e-06
748,1.50909409912118,1.53756590383528e-06
749,1.50907544543088,1.55029377980709e-06
750,1.50905685777655,1.56306007177911e-06
751,1.50903833616064,1.57579339282681e-06
752,1.50901988058558,1.58856442581753e-06
753,1.50900152418828,1.601372268487e-06
754,1.50898320070258,1.61414726533558e-06
755,1.50896497640026,1.62695843072627e-06
756,1.50894681814923,1.63980491694656e-06
757,1.50892872595187,1.65268590034005e-06
758,1.50891069981055,1.66553392319953e-06
759,1.50889273972765,1.67841589085777e-06
760,1.50887484570552,1.69133102769658e-06
761,1.50885701774651,1.70421343511293e-06
762,1.50883925585297,1.71719316135501e-06
763,1.50882159316567,1.73013968193159e-06
764,1.50880396341044,1.74305373674744e-06
765,1.50878643286685,1.75599926782271e-06
766,1.50876893525918,1.7689755841188e-06
767,1.50875150372855,1.78198201310588e-06
768,1.50873417141762,1.79495604889429e-06
769,1.50871687204832,1.80795979742399e-06
770,1.5086996387629,1.82099262215705e-06
771,1.50868247156364,1.83399336841886e-06
772,1.50866540359465,1.84702282337501e-06
773,1.50864836857482,1.86002069594317e-06
774,1.50863139964788,1.87310619090868e-06
775,1.50861449681605,1.88610090278965e-06
776,1.50859762693821,1.89918207721172e-06
777,1.50858085630292,1.91223182535628e-06
778,1.50856415176939,1.92525078626488e-06
779,1.50854748019536,1.93829685944427e-06
780,1.50853090787156,1.95136950110925e-06
