material_id,true_thickness_nm,scenario,method,n,mean_AE_nm,median_AE_nm,q90_AE_nm,q95_AE_nm,max_AE_nm,boundary_count,non_ok_count,convergence_count
A,520.0,impulsive,E0,200,0.7357662947032844,0.7033666822697455,1.3693239508192958,1.6218435834536642,2.6443021602848376,0,0,200
A,520.0,impulsive,E1,200,0.12996491458297496,0.11656890358574395,0.27438800231298044,0.31097975551260215,0.439487537943819,0,0,200
A,520.0,impulsive,E3,200,0.12232255810309535,0.1088444053871171,0.25008361121448386,0.29297315763122334,0.482448222845278,0,0,200
A,520.0,mixed,E0,200,3.4402286784847753,3.2120861990385947,5.953396863896728,6.7239305649735055,8.853974605272242,0,0,200
A,520.0,mixed,E1,200,3.457103345851426,3.139210084458284,5.463996819900672,5.991915969954377,7.661900402276615,0,0,200
A,520.0,mixed,E3,200,3.4444540844667206,3.036807974152623,5.314962441453542,6.070403117207865,7.79886286610656,0,0,200
A,680.0,baseline_drift,E0,200,0.8293949239655081,0.7764773682193891,1.3429902475944118,1.6331165442699611,1.8144912001271225,0,0,200
A,680.0,baseline_drift,E1,200,0.9174618252786314,0.8542140239971445,1.5356630199118853,1.8563242569660925,2.1262101538748084,0,0,200
A,680.0,baseline_drift,E3,200,0.9632008093030692,0.8697596578575144,1.7197853683562014,2.0653954573581292,2.6890810316563147,0,0,200
A,680.0,gaussian,E0,200,0.21637417868970826,0.18423334307237835,0.4676590733623811,0.5053209170213616,0.7720543075624846,0,0,200
A,680.0,gaussian,E1,200,0.22720947713726783,0.1902968820596129,0.4830564780415102,0.5153489585432282,0.8778225278600758,0,0,200
A,680.0,gaussian,E3,200,0.22753764937194373,0.19009961150175053,0.4836296906445682,0.5137386528666639,0.8789904746761295,0,0,200
A,680.0,impulsive,E0,200,0.6840084888825799,0.5703621974535054,1.3826952182078571,1.579509612329175,2.584047532217596,0,0,200
A,680.0,impulsive,E1,200,0.1164931744392555,0.092674487475449,0.2593282985210975,0.3001479356404842,0.384648171071035,0,0,200
A,680.0,impulsive,E3,200,0.113012797568536,0.0842165643826433,0.25254242629091544,0.2828782711054827,0.3750727520556438,0,0,200
A,680.0,mixed,E0,200,1.222185970111334,0.8980709681799794,2.6949175642929846,3.2128978291288828,4.797767540440304,0,0,200
A,680.0,mixed,E1,200,0.9210451018223984,0.8696499772987636,1.6812131095256178,1.8256812449585138,2.6592714963483104,0,0,200
A,680.0,mixed,E3,200,0.9117156756213864,0.8658516174702982,1.5828249112626054,1.7992476052921058,2.5606551365649466,0,0,200
B,380.0,baseline_drift,E0,200,0.1295324906119296,0.1180148324879155,0.21425160137887356,0.24908595424984406,0.3131826020933772,0,0,200
B,380.0,baseline_drift,E1,200,0.12846555139643923,0.11689387665950329,0.21369075848414806,0.248552922493485,0.3124671807022992,0,0,200
